ACID,D2D,PD,EAD,LGD,K,RWA,Risk Wt,Res Exp,Provision
113102426_145554031047_2017-12-31,0.3,0.8834,117000.0,0.8588,0.0888,129918.0,111.04,12.0,1.0
109620726_148154031007_2015-12-31,1.2,0.547,42660.0,0.8024,0.2204,117545.0,275.54,31.0,3.0
102197089_060351023923_2016-09-30,0.0,0.996,266000.0,0.5804,0.0023,7718.0,2.9,7.0,1.0
102241303_060351023920_2016-03-31,0.0,0.9977,94030.0,0.9951,0.0023,2725.0,2.9,17.0,2.0
009022843_062254023822_2016-03-31,0.0,0.9956,94030.0,0.9916,0.0043,5058.0,5.38,1.0,0.0
009023022_062251031001_2018-03-31,0.0,0.9903,500000.0,0.3436,0.0033,20454.0,4.09,4.0,0.0
009023022_062251031001_2018-06-30,0.0,0.9943,2069626.0,0.7941,0.0045,116521.0,5.63,1.0,0.0
100825787_034654031006_2016-03-31,0.4,0.8227,140000.0,0.3321,0.0493,86323.0,61.66,15.0,1.0
002178261_091613023769_2017-06-30,0.0,0.9999,22500.0,0.8462,0.0001,28.0,0.12,263.0,26.0
105787672_062254023830_2016-03-31,0.0,0.9855,1725626.0,0.7824,0.0111,239845.0,13.9,5.0,0.0
101022223_034654031026_2016-09-30,0.6,0.7346,1068516.0,0.8794,0.1788,2387813.0,223.47,31.0,3.0
101894582_034513031051_2016-09-30,0.0,0.9999,20000.0,1.0,0.0001,18.0,0.09,584.0,58.0
101069029_034613031015_2017-06-30,0.0,0.9993,100000.0,0.964,0.0006,784.0,0.78,169.0,17.0
008243095_095454001378_2018-03-31,0.0,0.9989,257000.0,0.9194,0.001,3245.0,1.26,0.0,0.0
003376163_019454001453_2016-12-31,6.1,0.0282,1078516.0,0.8375,0.0722,972911.0,90.21,19.0,0.0
002179046_091651001147_2015-09-30,0.0,0.9998,550000.0,0.9106,0.0002,1145.0,0.21,115.0,11.0
106587118_034613031358_2016-06-30,0.0,0.9999,332000.0,1.0,0.0001,572.0,0.17,5.0,1.0
003419501_015951001671_2016-09-30,0.0,0.9999,70000.0,1.0,0.0001,67.0,0.1,1577.0,157.0
003419546_015951001189_2017-12-31,0.0,0.9998,70000.0,1.0,0.0002,147.0,0.21,1577.0,157.0
003419563_015951001060_2016-06-30,0.0,0.9998,32000.0,0.9913,0.0002,65.0,0.2,57.0,6.0
003419563_015951001060_2018-03-31,0.0,0.9999,32000.0,0.9854,0.0001,59.0,0.18,54.0,5.0
100163062_041054023766_2016-03-31,5.4,0.0471,1290000.0,0.9895,0.0994,1602870.0,124.25,2.0,0.0
100163123_041054023764_2017-03-31,5.3,0.0492,9043516.0,0.0,0.0,0.0,0.0,0.0,0.0
109163858_112454023802_2018-03-31,0.0,1.0,864000.0,0.9694,0.0,222.0,0.03,1.0,0.0
109163858_112413023846_2016-03-31,1.4,0.4976,1068516.0,0.7434,0.2098,2802683.0,262.3,16.0,2.0
006223592_061154000131_2015-12-31,2.5,0.2721,5000000.0,0.9986,0.2458,15360543.0,307.21,0.0,0.0
014035758_034513031396_2017-09-30,0.0,0.9993,40000.0,0.9698,0.0007,326.0,0.81,78.0,8.0
106052797_091651024148_2018-03-31,1.4,0.4974,1268516.0,0.0,0.0,0.0,0.0,433.0,42.0
002224885_112454001240_2016-03-31,0.0,0.9985,47500.0,0.8936,0.0013,767.0,1.62,181.0,18.0
002180229_091613023811_2016-03-31,0.0,0.9959,140000.0,0.8218,0.0033,5858.0,4.18,15.0,2.0
100198254_061151023929_2017-09-30,0.0,0.9998,1500000.0,1.0,0.0002,3585.0,0.24,1.0,0.0
108027254_034254031238_2017-06-30,0.0,0.9991,93186.0,0.9714,0.0009,1046.0,1.12,16.0,2.0
107247103_062254023847_2017-03-31,3.4,0.1622,600000.0,0.5252,0.0943,707276.0,117.88,5.0,0.0
002095129_067851000336_2018-03-31,0.0,0.9982,30000.0,0.9668,0.0017,643.0,2.14,139.0,14.0
100242975_074654031034_2016-12-31,0.0,0.9995,60000.0,0.9938,0.0005,390.0,0.65,26.0,3.0
008702084_073551001159_2016-03-31,0.0,0.9997,60000.0,1.0,0.0003,218.0,0.36,26.0,3.0
100239337_041054023761_2016-06-30,0.1,0.9679,1048516.0,0.9381,0.029,379482.0,36.19,160.0,16.0
100306593_041054023775_2016-12-31,0.1,0.9568,700000.0,0.9111,0.0374,327066.0,46.72,3.0,0.0
100306593_041054023775_2017-12-31,0.0,0.9957,44928.0,0.9465,0.0041,2279.0,5.07,36.0,4.0
110659117_112413023819_2017-09-30,0.0,0.9938,1043566.0,1.0,0.0061,79807.0,7.65,15767.0,1571.0
002095137_067851000344_2016-09-30,0.0,0.9996,1043516.0,0.9427,0.0004,5274.0,0.51,0.0,0.0
114799014_034554031197_2017-06-30,0.0,0.9925,1043566.0,0.988,0.0073,94978.0,9.1,0.0,0.0
002180717_091613001017_2017-06-30,0.0,0.9879,1719626.0,0.9416,0.0112,241153.0,14.02,6.0,1.0
100318842_110913031004_2016-03-31,5.4,0.0472,1168516.0,0.8184,0.0823,1201610.0,102.83,6.0,0.0
002094657_067813000023_2015-12-31,2.2,0.3111,1093516.0,0.9294,0.2431,3322982.0,303.88,16.0,1.0
100318842_110913031004_2015-09-30,0.0,0.9993,30000.0,0.996,0.0007,245.0,0.82,69.0,7.0
104427240_086413023924_2017-09-30,0.1,0.9529,1729626.0,0.8579,0.0383,827374.0,47.84,5.0,0.0
104427240_086413023924_2016-03-31,0.0,0.9943,50000.0,1.0,0.0056,3503.0,7.01,36.0,4.0
104517543_086413023934_2017-06-30,0.0,0.9994,75000.0,0.9636,0.0005,510.0,0.68,28.0,3.0
101523677_034654031048_2017-09-30,0.0,1.0,1100000.0,1.0,0.0,239.0,0.02,1.0,0.0
105329318_086413023961_2016-09-30,0.0,0.9853,19000.0,0.3546,0.0051,1208.0,6.36,1.0,0.0
115041665_075654031086_2017-12-31,0.0,0.9999,2000000.0,1.0,0.0001,1888.0,0.09,1.0,0.0
003377561_019454001525_2016-12-31,0.0,0.9997,1193516.0,0.0,0.0,0.0,0.0,10.0,1.0
100409471_061154023801_2017-03-31,0.0,0.9992,260000.0,0.9722,0.0008,2591.0,1.0,6.0,1.0
014037801_034554001478_2015-12-31,3.3,0.1708,1300000.0,0.8992,0.1672,2716719.0,208.98,1.0,0.0
100015802_016051021017_2018-03-31,0.0,0.9987,37500.0,0.9514,0.0013,599.0,1.6,64.0,6.0
009027496_062213000021_2016-09-30,0.0,0.9998,51375.0,0.9824,0.0002,132.0,0.26,43.0,4.0
100522619_061151023821_2018-03-31,5.4,0.0451,82312.0,0.8573,0.0852,87625.0,106.45,1.0,0.0
002181804_091651001294_2016-12-31,0.0,1.0,50000.0,1.0,0.0,22.0,0.04,1577.0,157.0
014039416_034554031080_2017-06-30,0.0,0.9998,200000.0,1.0,0.0002,411.0,0.21,17.0,2.0
109074978_060351000061_2017-03-31,0.0,0.9999,600000.0,1.0,0.0001,458.0,0.08,1.0,0.0
102102609_034651031062_2015-12-31,0.0,0.9989,1300000.0,1.0,0.0011,18552.0,1.43,1.0,0.0
002094779_067851000007_2016-06-30,0.5,0.7883,25000.0,0.4814,0.0825,25786.0,103.14,168.0,17.0
